﻿OLMC,cdname,cduid,csd_census_pop,sh_csd_census_pop,csd_ps_pop,sh_csd_ps_pop,csd_appl,sh_csd_appl,OLMC_census_pop,sh_OLMC_census_pop,OLMC_ps_pop,sh_OLMC_ps_pop,OLMC_appl,sh_OLMC_appl,CAN_census_pop,sh_CAN_census_pop,CAN_ps_pop,sh_CAN_ps_pop,CAN_appl,sh_CAN_appl,FOL_csd_census_pop,sh_FOL_csd_census_pop,FOL_csd_ps_pop,sh_FOL_csd_ps_pop,FOL_csd_appl,sh_FOL_csd_appl,FOL_OLMC_census_pop,sh_FOL_OLMC_census_pop,FOL_OLMC_ps_pop,sh_FOL_OLMC_ps_pop,FOL_OLMC_appl,sh_FOL_OLMC_appl,FOL_CAN_census_pop,sh_FOL_CAN_census_pop,FOL_CAN_ps_pop,sh_FOL_CAN_ps_pop,FOL_CAN_appl,sh_FOL_CAN_appl
N/A,Division No. 19,4619,80,1%,0,0%,2,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,30,0%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 20,4620,170,3%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,40,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 21,4621,550,4%,0,0%,7,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,105,1%,0,0%,1,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 22,4622,620,2%,0,0%,17,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,190,1%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 23,4623,110,2%,0,0%,3,18%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,35,1%,0,0%,2,12%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  1,4701,775,4%,1,1%,18,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,315,2%,0,0%,4,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  2,4702,285,2%,0,0%,5,7%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,70,0%,0,0%,2,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  3,4703,700,9%,1,6%,5,24%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,405,5%,0,0%,3,14%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  4,4704,170,3%,0,0%,2,3%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,75,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  5,4705,430,2%,0,0%,3,4%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,135,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  6,4706,9415,5%,79,5%,541,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,2185,1%,35,2%,160,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  7,4707,1410,5%,1,2%,32,12%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,415,1%,0,0%,7,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  8,4708,620,3%,8,6%,11,7%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,155,1%,2,2%,2,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  9,4709,460,2%,0,0%,9,6%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,125,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 10,4710,130,1%,0,0%,1,1%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,50,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 11,4711,12185,6%,30,2%,338,12%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,2820,1%,12,1%,72,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 12,4712,435,3%,0,0%,8,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,125,1%,0,0%,2,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
